,postid,Name,ExtractName,Address,Year,GPA400,GPA375,GPA350,GPA325,GPA300,GPA250,GPA200,GPA100,GPA000
0,10011,American University,American University,"4400 Massachusetts Avenue, NW, Washington, District of Columbia, 20016, United States",2023-2024,15%,25%,30%,20%,7%,2%,1%,0%,0%
1,10011,American University,American University,"4400 Massachusetts Avenue, NW, Washington, D.C. 20016",2021-2022,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2,10011,American University,Western New England University,"1215 Wilbraham Road, Springfield, MA, 01119",2023-2024,36.43%,10.69%,12.66%,12.10%,11.11%,11.95%,4.92%,0.14%,0.00%
3,10011,American University,Loyola University Maryland,"4501 North Charles Street, Baltimore, MD, 21210, USA",2023-2024,33%,23%,21%,11%,6%,5%,1%,0%,0%
4,10012,Clark University,Clark University,"950 Main Street, Worcester, Massachusetts, 01610-1477, United States",2023-2024,31%,24%,21%,13%,7%,4%,0%,0%,0%
5,10012,Clark University,Clark University,"950 Main Street, Worcester, MA 01610-1477",2021-2022,34%,26%,14%,11%,9%,6%,1%,,
6,10012,Clark University,Clark University,"950 Main Street, Worcester, MA 01610-1477",2018-2019,26%,53%,19%,2%,0%,0%,0%,0%,0%
7,10012,Clark University,University of Utah,"201 Presidents Circle, Salt Lake City, Utah, 84112, United States",2023-2024,11.0%,39.0%,24.0%,17.0%,7.0%,2.0%,0.0%,0.0%,0.0%
8,10013,Texas A & M University-College Station,Texas A&M University,"400 Bizzell St., College Station, Texas, 77843, United States",2023-2024,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
9,10013,Texas A & M University-College Station,Texas A&M University,"College Station, TX 77843",2022-2023,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
10,10013,Texas A & M University-College Station,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
11,10014,University of Massachusetts-Amherst,University of Massachusetts Amherst,"Amherst, Massachusetts",2023-2024,6,0,0,0,0,0,0,0,0
12,10079,Dartmouth College,Dartmouth College,"16016 McNutt Hall, Hanover, NH 03755",2022-2023,94.5%,98.3%,99.8%,0.2%,0.2%,,,,
13,10079,Dartmouth College,Dartmouth College,"Hanover, NH 03755",2023-2024,20%,30%,25%,15%,5%,3%,1%,0.5%,0.5%
14,10079,Dartmouth College,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
15,10080,Vanderbilt University,Davidson College,"209 Ridge Rd Box 5000, Davidson, North Carolina, 28035, United States",2023-2024,39.00,34.00,23.00,3.00,0.70,0.30,0.00,0.00,0.00
