,postid,Name,ExtractName,Address,Year,GPA400,GPA375,GPA350,GPA325,GPA300,GPA250,GPA200,GPA100,GPA000
0,34278,Benedictine University,Benedictine University,"5700 College Road, Lisle, IL 60532",2021-2022,1.18%,14.35%,19.06%,21.65%,16.24%,20.71%,6.81%,0.00%,0.00%
1,34278,Benedictine University,Benedictine University,"5700 College Road, Lisle, IL 60532",2021-2022,4.10%,0.00%,21.45%,0.00%,20.96%,18.31%,6.27%,0.00%,0.00%
2,34278,Benedictine University,Benedictine University,"5700 College Road, Lisle, IL 60532",2020-2021,1.99%,12.69%,16.91%,20.40%,15.92%,21.89%,10.20%,0.00%,0.00%
3,34278,Benedictine University,Williams College,"880 Main Street, Williamstown, Massachusetts, 01267, United States",2023-2024,72.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
4,34280,California State University-Fullerton,"University of California, Los Angeles","405 Hilgard Avenue, Los Angeles, CA 90095",2022-2023,59.1%,34.0%,4.9%,1.6%,3%,1%,0%,0%,0%
5,34280,California State University-Fullerton,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
6,34280,California State University-Fullerton,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%
7,34642,University of North Carolina at Greensboro,The University of North Carolina at Greensboro,"PO Box 26170, Greensboro, NC 27402",2022-2023,28.19%,14.91%,15.63%,15.81%,13.16%,12.13%,0.17%,,
8,34642,University of North Carolina at Greensboro,University of North Carolina at Chapel Hill,"Chapel Hill, NC 27599",2022-2023,95%,3%,1%,1%,0%,0%,0%,0%,0%
9,34642,University of North Carolina at Greensboro,University of North Carolina at Chapel Hill,"Chapel Hill, NC",2023-2024,21%,25%,18%,15%,10%,7%,3%,1%,0%
10,34982,Shenandoah University,Shenandoah University,"1460 University Drive, Winchester, Virginia 22601",2021-2022,35%,17%,16%,12%,9%,9%,2%,0%,0%
11,34982,Shenandoah University,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
12,34982,Shenandoah University,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
13,34984,Old Dominion University,Unknown College,Unknown Address,2023-2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,34986,Central Michigan University,Central Michigan University,"1200 S Franklin St, Mount Pleasant, MI 48859, USA",2023-2024,18.1%,22.3%,10.6%,0%,0%,0%,0%,1%,0%
15,34986,Central Michigan University,Central Michigan University,"Mount Pleasant, MI, 48859, USA",2022-2023,18.50%,22.00%,17.20%,14.20%,12.90%,,,,
16,34986,Central Michigan University,Central Michigan University,"Mount Pleasant, MI, 48859, USA",2021-2022,18.20%,20.50%,15.80%,12.90%,16.00%,15.10%,1.50%,0.00%,0.00%
17,34986,Central Michigan University,University of Michigan,"500 S. State Street, Ann Arbor, MI 48109 USA",2023-2024,Percent who had GPA of 4.0,Percent who had GPA between 3.75 and 3.99,Percent who had GPA between 3.50 and 3.74,Percent who had GPA between 3.25 and 3.49,Percent who had GPA between 3.00 and 3.24,Percent who had GPA between 2.50 and 2.99,Percent who had GPA between 2.0 and 2.49,Percent who had GPA between 1.0 and 1.99,Percent who had GPA below 1.0
18,34986,Central Michigan University,Carnegie Mellon University,"5000 Forbes Avenue, Pittsburgh, PA 15213",2023-2024,48.9%,40.9%,7.2%,2.3%,0.4%,0.4%,0.0%,0.0%,0.0%
